iso,valence,arousal,dominance,joy,anger,sadness,fear,disgust
th,0.5097618805438395,0.3831623949861673,0.4543766791590062,0.49517832482875673,0.48590245074193467,0.46173709155635106,0.4516179555749502,0.4901026639298
tr,0.8376132381367262,0.6184080324883735,0.776949813329186,0.7820034365569692,0.7984782739339621,0.796694547204904,0.7548943591132641,0.7726989619526723
uk,0.8319332576371276,0.6337354068997569,0.7736500584199129,0.7787061069234915,0.7999980837916554,0.7685662090043185,0.7584431971738634,0.7737997639745604
ur,0.688135533939837,0.5226801471587937,0.6107730751859757,0.6304739571629042,0.7014275570281302,0.6542531745676435,0.6374498407903115,0.6836488063578372
uz,0.5977105810221841,0.3812686747271924,0.5461476289084929,0.564810918112358,0.5653356689450605,0.5584479534349732,0.5377120763744279,0.5283873681560827
vi,0.6491248025694711,0.47473094966595036,0.5811060795829893,0.5949953782340018,0.6461155860683397,0.5908005330304704,0.5809289079684313,0.6217009626035597
cy,0.7216993356894561,0.5098728147572673,0.6706416344233136,0.6432335905875382,0.6871672068881128,0.6486847923631168,0.6384609460079325,0.6576274165256594
fy,0.6075790473399978,0.43433081741986435,0.5410943585491189,0.5308894731096897,0.6023959266425283,0.5915761020646837,0.5532332636141701,0.5794670130290395
yi,0.4858359698170113,0.343337284257934,0.4016584515775132,0.4333884213206907,0.5000028006318823,0.4657888427889852,0.4535270995623214,0.4434291863636606
yo,0.2410885725273578,0.08439473016243232,0.19396867627378928,0.18305207934662282,0.23931456090426467,0.21495438163105893,0.2146916448156386,0.2600177969739249
